sample_id	total_clones
110040277	24058
110040811	22560
110040851	33499
110040887	27159
110040958	5221
110040975	24893
110042592	20406
110042606	15381
110042713	24967
110042813	30353
110042935	44858
110044118	20507
110044155	19226
110044355	28396
110044376	9755
110044782	29877
110044786	4339
110044845	15776
110044978	16609
110046337	23785
110046617	26758
110046912	18576
222693519	24690
22301641N	21973
888174491	8346
888179544	12568
888214522	73618
888262983	16467
888286853	25972
888287118	40717
888313858	1592
888333863	43123
888402542	10056
888407672	20728
888408987	26529
888436895	25398
888508776	42695
888559379	11874
888581247	9592
888624327	16396
888634432	24787
888640612	15397
888646440	15969
888647920	6130
888669369	26740
888696188	2508
888703260	13577
888760853	27314
888777004	20117
888816126	23358
888921048	12390
888927334	12118
888943370	1040
888945988	29382
888956204	20025
888976935	33096
888997753	19628
889005836	10963
889018176	20223
CE0005500	15899
CE0005604	18219
CE0005662	40898
CE0005779	19182
CE0005786	46893
CE0005802	26186
CE0005876	26908
CE0005988	20709
CE0006103	28245
CE0006205	14271
CE0006233	16391
CE0006371	21494
CE0006394	8616
CE0006435	27147
CE0006481	14920
CE0006524	32626
CE0006547	32012
CE0006623	12339
CE0006705	38382
CE0006781	17887
CE0006829	43271
CE0006943	52178
CE0007007	14999
CE0007070	10832
CE0007129	25379
CE0007408	63625
CE0007424	11965
CE0007624	34937
CE0007765	17943
CE0007769	21352
CE0007814	27279
CE0007821	14150
CE0007855	25523
CE0007865	27629
CE0007908	12661
CE0007925	17391
CE0008114	27917
CE0008202	25885
CE0008264	38357
CE0008375	23868
CE0008411	15517
CE0008484	79689
CE0008542	32668
CE0008593	16751
CE0008661	10793
CE0008682	11392
CE0008817	20385
CE0008924	28760
CE0009275	10537
CE0009991	10247
RG1083	11933
RG1193	5698
RG1200	23342
RG1234	33131
RG1265	21555
RG1272	42147
RG1289	25238
RG1367	63048
RG1443	34479
RG1565	29229
RG1578	10841
RG1791	23590
RG1802	36036
RG1822	14336
RG1849	20279
RG1889	25473
RG1895	25014
RG1936	61139
RG2037	11389
RG2105	22378
RG2115	21278
RG2118	27315
RG2155	25408
RG2195	27932
RG2207	28381
RG2251	28033
RG2284	21989
RG2350	28250
RG2459	20188
RG2512	15849
RG2617	25886
RG2674	12254
RG2685	24456
RG2838	14996
RG2903	23962
RG3105	16042
RG3309	15670
RG3355	38042
RG3444	25917
RG3549	13275
RG3556	28689
RG3578	21489
RG3666	14982
RG3758	64978
RG3783	21542
RG3844	19736
RG3945	8058
RG3948	20096
RG3956	18469
RG3987	29500
RG3995	36167
RG4094	27105
RG4543	20591
SCT2601343	23662
SCT2794524	17600
SCT4168329	28321
SCT6222960	6290
SCT6338383	20442
SCT8789722	13340
SCT9160998	20087
