sample_id	total_clones
110040277	1169
110040811	1080
110040851	1559
110040887	769
110040958	262
110040975	675
110042592	882
110042606	692
110042713	579
110042813	1137
110042935	1231
110044118	681
110044155	1309
110044355	2091
110044376	463
110044782	1506
110044786	277
110044845	687
110044978	643
110046337	781
110046617	589
110046912	669
222693519	1056
22301641N	885
888174491	410
888179544	570
888214522	1428
888262983	457
888286853	1696
888287118	1495
888313858	45
888333863	1271
888402542	409
888407672	611
888408987	721
888436895	857
888508776	1129
888559379	740
888581247	711
888624327	724
888634432	733
888640612	677
888646440	675
888647920	194
888669369	835
888696188	39
888703260	838
888760853	1005
888777004	508
888816126	542
888921048	502
888927334	493
888943370	34
888945988	1187
888956204	868
888976935	1134
888997753	856
889005836	553
889018176	997
CE0005500	308
CE0005604	302
CE0005662	918
CE0005779	403
CE0005786	2285
CE0005802	758
CE0005876	939
CE0005988	492
CE0006103	931
CE0006205	460
CE0006233	594
CE0006371	779
CE0006394	328
CE0006435	652
CE0006481	310
CE0006524	1209
CE0006547	1101
CE0006623	514
CE0006705	1103
CE0006781	840
CE0006829	1296
CE0006943	1594
CE0007007	624
CE0007070	549
CE0007129	816
CE0007408	1475
CE0007424	336
CE0007624	1060
CE0007765	705
CE0007769	495
CE0007814	961
CE0007821	581
CE0007855	1058
CE0007865	1026
CE0007908	1224
CE0007925	822
CE0008114	1305
CE0008202	704
CE0008264	914
CE0008375	513
CE0008411	436
CE0008484	2739
CE0008542	1223
CE0008593	546
CE0008661	227
CE0008682	413
CE0008817	367
CE0008924	656
CE0009275	383
CE0009991	274
RG1083	228
RG1193	152
RG1200	658
RG1234	1417
RG1265	855
RG1272	1090
RG1289	774
RG1367	1947
RG1443	2439
RG1565	789
RG1578	524
RG1791	799
RG1802	1914
RG1822	392
RG1849	522
RG1889	512
RG1895	528
RG1936	1993
RG2037	495
RG2105	896
RG2115	558
RG2118	1199
RG2155	503
RG2195	1080
RG2207	980
RG2251	925
RG2284	634
RG2350	1218
RG2459	484
RG2512	636
RG2617	615
RG2674	444
RG2685	941
RG2838	589
RG2903	823
RG3105	791
RG3309	481
RG3355	1518
RG3444	965
RG3549	751
RG3556	1229
RG3578	931
RG3666	512
RG3758	1371
RG3783	1067
RG3844	731
RG3945	262
RG3948	650
RG3956	722
RG3987	1202
RG3995	1253
RG4094	1092
RG4543	369
SCT2601343	418
SCT2794524	446
SCT4168329	549
SCT6222960	106
SCT6338383	393
SCT8789722	493
SCT9160998	567
