sample_id	total_clones
110040277	7679
110040811	6804
110040851	10862
110040887	4201
110040958	3448
110040975	3229
110042592	7640
110042606	8537
110042713	6364
110042813	15716
110042935	8846
110044118	11557
110044155	16015
110044355	24708
110044376	5377
110044782	28394
110044786	3634
110044845	5370
110044978	11958
110046337	7718
110046617	3613
110046912	7021
222693519	8837
22301641N	7201
888174491	5661
888179544	7863
888214522	3765
888262983	5488
888286853	21714
888287118	14059
888313858	798
888333863	10496
888402542	6360
888407672	4420
888408987	1398
888436895	6444
888508776	7572
888559379	12403
888581247	5155
888624327	13848
888634432	10401
888640612	11513
888646440	9925
888647920	4286
888669369	4342
888696188	269
888703260	17084
888760853	15823
888777004	7578
888816126	7321
888921048	3269
888927334	6872
888943370	364
888945988	12361
888956204	10204
888976935	11906
888997753	10118
889005836	5545
889018176	5607
CE0005500	1534
CE0005604	2601
CE0005662	6127
CE0005779	7652
CE0005786	10594
CE0005802	7678
CE0005876	13943
CE0005988	5257
CE0006103	13936
CE0006205	5412
CE0006233	4070
CE0006371	9181
CE0006394	10923
CE0006435	4584
CE0006481	10073
CE0006524	15371
CE0006547	9874
CE0006623	11468
CE0006705	18332
CE0006781	14134
CE0006829	3165
CE0006943	10566
CE0007007	9380
CE0007070	14396
CE0007129	14210
CE0007408	17365
CE0007424	3175
CE0007624	7348
CE0007765	6031
CE0007769	3795
CE0007814	13691
CE0007821	8785
CE0007855	29684
CE0007865	9189
CE0007908	14395
CE0007925	15329
CE0008114	7392
CE0008202	6689
CE0008264	8135
CE0008375	4185
CE0008411	4192
CE0008484	11177
CE0008542	8681
CE0008593	9185
CE0008661	2376
CE0008682	5261
CE0008817	4911
CE0008924	5900
CE0009275	11845
CE0009991	6436
RG1083	818
RG1193	2614
RG1200	7561
RG1234	12022
RG1265	17161
RG1272	4637
RG1289	12607
RG1367	18039
RG1443	23307
RG1565	4450
RG1578	11961
RG1791	6366
RG1802	12337
RG1822	8405
RG1849	12199
RG1889	2529
RG1895	6615
RG1936	15921
RG2037	15997
RG2105	11391
RG2115	2227
RG2118	19672
RG2155	7972
RG2195	6837
RG2207	10213
RG2251	11076
RG2284	4974
RG2350	13008
RG2459	10615
RG2512	9683
RG2617	4685
RG2674	11554
RG2685	8579
RG2838	9550
RG2903	4278
RG3105	9914
RG3309	4712
RG3355	12220
RG3444	9610
RG3549	8249
RG3556	9561
RG3578	12635
RG3666	4970
RG3758	4291
RG3783	9350
RG3844	6665
RG3945	3256
RG3948	4050
RG3956	12094
RG3987	7890
RG3995	7298
RG4094	9220
RG4543	4050
SCT2601343	4002
SCT2794524	6085
SCT4168329	5581
SCT6222960	1439
SCT6338383	3881
SCT8789722	4483
SCT9160998	4461
