sample_id	total_clones
110040277	787
110040811	748
110040851	930
110040887	313
110040958	317
110040975	325
110042592	745
110042606	732
110042713	541
110042813	1455
110042935	937
110044118	1112
110044155	2543
110044355	3779
110044376	447
110044782	2973
110044786	453
110044845	512
110044978	1093
110046337	683
110046617	327
110046912	591
222693519	814
22301641N	767
888174491	489
888179544	775
888214522	291
888262983	383
888286853	3313
888287118	1695
888313858	41
888333863	905
888402542	551
888407672	426
888408987	91
888436895	657
888508776	661
888559379	1107
888581247	876
888624327	1467
888634432	1045
888640612	1059
888646440	882
888647920	348
888669369	425
888696188	25
888703260	1825
888760853	1534
888777004	633
888816126	519
888921048	236
888927334	572
888943370	26
888945988	1004
888956204	1036
888976935	1156
888997753	1128
889005836	545
889018176	440
CE0005500	90
CE0005604	151
CE0005662	405
CE0005779	480
CE0005786	1322
CE0005802	566
CE0005876	1678
CE0005988	348
CE0006103	1690
CE0006205	536
CE0006233	363
CE0006371	894
CE0006394	841
CE0006435	260
CE0006481	729
CE0006524	1416
CE0006547	1010
CE0006623	1199
CE0006705	1703
CE0006781	1865
CE0006829	328
CE0006943	817
CE0007007	1022
CE0007070	1504
CE0007129	1385
CE0007408	1336
CE0007424	221
CE0007624	662
CE0007765	729
CE0007769	285
CE0007814	1393
CE0007821	675
CE0007855	2467
CE0007865	1314
CE0007908	2350
CE0007925	1696
CE0008114	623
CE0008202	516
CE0008264	738
CE0008375	395
CE0008411	287
CE0008484	1107
CE0008542	610
CE0008593	792
CE0008661	162
CE0008682	451
CE0008817	324
CE0008924	487
CE0009275	1028
CE0009991	466
RG1083	61
RG1193	219
RG1200	590
RG1234	1067
RG1265	1836
RG1272	365
RG1289	1381
RG1367	1616
RG1443	4543
RG1565	388
RG1578	1178
RG1791	447
RG1802	1072
RG1822	773
RG1849	934
RG1889	157
RG1895	563
RG1936	1801
RG2037	1534
RG2105	1352
RG2115	174
RG2118	2017
RG2155	617
RG2195	624
RG2207	912
RG2251	1086
RG2284	328
RG2350	1332
RG2459	716
RG2512	918
RG2617	347
RG2674	1052
RG2685	709
RG2838	871
RG2903	328
RG3105	1109
RG3309	435
RG3355	1459
RG3444	885
RG3549	873
RG3556	780
RG3578	1128
RG3666	469
RG3758	330
RG3783	920
RG3844	700
RG3945	208
RG3948	374
RG3956	1164
RG3987	675
RG3995	617
RG4094	722
RG4543	311
SCT2601343	291
SCT2794524	444
SCT4168329	452
SCT6222960	83
SCT6338383	298
SCT8789722	364
SCT9160998	363
