sample_id	total_clones
110040277	6807
110040811	9993
110040851	9622
110040887	10615
110040958	2058
110040975	11812
110042592	5665
110042606	6801
110042713	17377
110042813	10941
110042935	17082
110044118	7787
110044155	4991
110044355	12947
110044376	4077
110044782	14307
110044786	5789
110044845	3991
110044978	8449
110046337	1511
110046617	11313
110046912	5541
222693519	8594
22301641N	12865
888174491	2847
888179544	4567
888214522	31763
888262983	12338
888286853	5043
888287118	15016
888313858	1146
888333863	14152
888402542	2672
888407672	6075
888408987	13855
888436895	17019
888508776	14491
888559379	5946
888581247	7446
888624327	5414
888634432	16368
888640612	5321
888646440	5434
888647920	1937
888669369	11149
888696188	620
888703260	3447
888760853	18646
888777004	10621
888816126	11660
888921048	6449
888927334	6314
888943370	518
888945988	11996
888956204	7245
888976935	12078
888997753	6976
889005836	3746
889018176	9369
CE0005500	1640
CE0005604	14826
CE0005662	17792
CE0005786	21114
CE0005802	14715
CE0005876	2900
CE0005988	6734
CE0006103	9041
CE0006205	5449
CE0006233	7706
CE0006371	11870
CE0006394	4390
CE0006435	14018
CE0006481	6068
CE0006524	2501
CE0006547	10447
CE0006623	7004
CE0006705	11197
CE0006781	5644
CE0006829	22273
CE0006943	20068
CE0007007	3853
CE0007070	4857
CE0007129	9399
CE0007408	26398
CE0007424	5647
CE0007624	9161
CE0007765	589
CE0007769	13767
CE0007814	19863
CE0007821	1803
CE0007855	8117
CE0007865	20051
CE0007908	3495
CE0007925	10886
CE0008114	8688
CE0008136	551
CE0008202	3047
CE0008264	8379
CE0008375	11401
CE0008411	5580
CE0008484	16426
CE0008542	12962
CE0008593	835
CE0008661	3837
CE0008682	9000
CE0008817	12668
CE0008924	2937
CE0009275	4169
CE0009991	2187
RG1083	13661
RG1193	10018
RG1200	9911
RG1234	10473
RG1265	2742
RG1272	30431
RG1289	3395
RG1367	22130
RG1443	7184
RG1565	8633
RG1578	1427
RG1791	15112
RG1802	10759
RG1822	9482
RG1849	10963
RG1889	13501
RG1895	14553
RG1936	24516
RG2037	4524
RG2105	6591
RG2115	13771
RG2118	1974
RG2155	12698
RG2195	14232
RG2207	9166
RG2251	12458
RG2284	15364
RG2350	8964
RG2459	9502
RG2512	6851
RG2617	11998
RG2674	5835
RG2685	9953
RG2838	4652
RG2903	8223
RG3105	5437
RG3309	6262
RG3355	13143
RG3444	6509
RG3549	6689
RG3556	7316
RG3578	8778
RG3758	18125
RG3783	7943
RG3844	1372
RG3945	4278
RG3948	9895
RG3956	9521
RG3987	13670
RG3995	10354
RG4094	13763
RG4543	7685
SCT2601343	16226
SCT2794524	13705
SCT4168329	8531
SCT6222960	2459
SCT6338383	12695
SCT8789722	7160
SCT8995047	5406
SCT9160998	14310
