sample_id	total_clones
110040277	463
110040811	924
110040851	563
110040887	443
110040958	162
110040975	528
110042592	426
110042606	372
110042713	781
110042813	623
110042935	958
110044118	330
110044155	364
110044355	1091
110044376	242
110044782	1031
110044786	472
110044845	251
110044978	487
110046337	59
110046617	349
110046912	312
222693519	371
22301641N	684
888174491	239
888179544	339
888214522	852
888262983	633
888286853	447
888287118	729
888313858	32
888333863	613
888402542	111
888407672	260
888408987	596
888436895	767
888508776	609
888559379	485
888581247	765
888624327	280
888634432	962
888640612	318
888646440	386
888647920	100
888669369	513
888696188	25
888703260	445
888760853	1190
888777004	620
888816126	445
888921048	308
888927334	350
888943370	19
888945988	613
888956204	516
888976935	527
888997753	527
889005836	249
889018176	538
CE0005500	39
CE0005604	424
CE0005662	530
CE0005786	928
CE0005802	673
CE0005876	195
CE0005988	243
CE0006103	533
CE0006205	256
CE0006233	401
CE0006371	615
CE0006394	384
CE0006435	535
CE0006481	240
CE0006524	117
CE0006547	470
CE0006623	435
CE0006705	471
CE0006781	319
CE0006829	1389
CE0006943	696
CE0007007	211
CE0007070	348
CE0007129	517
CE0007408	974
CE0007424	266
CE0007624	389
CE0007765	22
CE0007769	632
CE0007814	1720
CE0007821	95
CE0007855	453
CE0007865	1016
CE0007908	372
CE0007925	798
CE0008114	450
CE0008136	20
CE0008202	135
CE0008264	417
CE0008375	294
CE0008411	290
CE0008484	457
CE0008542	649
CE0008593	33
CE0008661	157
CE0008682	403
CE0008817	422
CE0008924	73
CE0009275	372
CE0009991	151
RG1083	330
RG1193	656
RG1200	445
RG1234	566
RG1265	190
RG1272	1271
RG1289	114
RG1367	989
RG1443	769
RG1565	371
RG1578	85
RG1791	716
RG1802	608
RG1822	436
RG1849	625
RG1889	426
RG1895	445
RG1936	1393
RG2037	344
RG2105	346
RG2115	425
RG2118	60
RG2155	506
RG2195	872
RG2207	437
RG2251	536
RG2284	608
RG2350	481
RG2459	406
RG2512	440
RG2617	528
RG2674	338
RG2685	613
RG2838	309
RG2903	369
RG3105	413
RG3309	244
RG3355	728
RG3444	370
RG3549	594
RG3556	335
RG3578	533
RG3758	424
RG3783	532
RG3844	60
RG3945	215
RG3948	512
RG3956	648
RG3987	782
RG3995	400
RG4094	554
RG4543	328
SCT2601343	335
SCT2794524	689
SCT4168329	300
SCT6222960	57
SCT6338383	434
SCT8789722	506
SCT8995047	188
SCT9160998	667
