sample_id	total_clones
110040277	2119
110040811	3841
110040851	3209
110040887	1462
110040958	1656
110040975	1644
110042592	2401
110042606	3561
110042713	4468
110042813	5846
110042935	4861
110044118	3586
110044155	4324
110044355	9930
110044376	2581
110044782	9335
110044786	5080
110044845	1381
110044978	6138
110046337	323
110046617	1745
110046912	2107
222693519	2437
22301641N	2891
888174491	2200
888179544	3339
888214522	936
888262983	3552
888286853	3527
888287118	5208
888313858	339
888333863	2985
888402542	996
888407672	1165
888408987	602
888436895	4627
888508776	2438
888559379	5276
888581247	4187
888624327	2988
888634432	6405
888640612	4164
888646440	2386
888647920	1460
888669369	2255
888696188	134
888703260	6808
888760853	8223
888777004	4364
888816126	3490
888921048	1599
888927334	2854
888943370	209
888945988	4532
888956204	4004
888976935	4097
888997753	3965
889005836	1840
889018176	2216
CE0005500	305
CE0005604	1945
CE0005662	2339
CE0005786	4120
CE0005802	4242
CE0005876	1987
CE0005988	1738
CE0006103	4633
CE0006205	2115
CE0006233	1945
CE0006371	4322
CE0006394	6712
CE0006435	1620
CE0006481	3736
CE0006524	946
CE0006547	2659
CE0006623	6235
CE0006705	3880
CE0006781	3618
CE0006829	1414
CE0006943	2809
CE0007007	2229
CE0007070	6357
CE0007129	4937
CE0007408	7856
CE0007424	1600
CE0007624	1468
CE0007765	205
CE0007769	2600
CE0007814	10237
CE0007821	1038
CE0007855	11344
CE0007865	5233
CE0007908	4325
CE0007925	6718
CE0008114	1823
CE0008136	166
CE0008202	732
CE0008264	3557
CE0008375	1753
CE0008411	1737
CE0008484	1651
CE0008542	3770
CE0008593	363
CE0008661	990
CE0008682	3756
CE0008817	2871
CE0008924	470
CE0009275	4846
CE0009991	1577
RG1083	1300
RG1193	4723
RG1200	2790
RG1234	3962
RG1265	2031
RG1272	3428
RG1289	1113
RG1367	5412
RG1443	5784
RG1565	1553
RG1578	1201
RG1791	3429
RG1802	2403
RG1822	4458
RG1849	6547
RG1889	2023
RG1895	2777
RG1936	7808
RG2037	5716
RG2105	3579
RG2115	1226
RG2118	308
RG2155	4644
RG2195	3608
RG2207	3260
RG2251	4218
RG2284	2915
RG2350	3423
RG2459	4939
RG2512	4371
RG2617	2561
RG2674	4921
RG2685	3883
RG2838	3306
RG2903	2228
RG3105	2901
RG3309	1872
RG3355	4008
RG3444	2674
RG3549	4453
RG3556	2576
RG3578	4545
RG3758	679
RG3783	3280
RG3844	321
RG3945	1549
RG3948	2327
RG3956	4961
RG3987	3231
RG3995	1945
RG4094	2710
RG4543	2154
SCT2601343	2152
SCT2794524	4569
SCT4168329	1595
SCT6222960	487
SCT6338383	2446
SCT8789722	2666
SCT8995047	1183
SCT9160998	2913
