sample_id	total_clones
110040277	237
110040811	564
110040851	207
110040887	115
110040958	126
110040975	144
110042592	221
110042606	285
110042713	525
110042813	443
110042935	767
110044118	240
110044155	361
110044355	1234
110044376	230
110044782	1007
110044786	487
110044845	75
110044978	602
110046337	15
110046617	136
110046912	169
222693519	168
22301641N	219
888174491	153
888179544	304
888214522	81
888262983	416
888286853	483
888287118	521
888313858	22
888333863	275
888402542	66
888407672	79
888408987	48
888436895	549
888508776	206
888559379	400
888581247	569
888624327	269
888634432	761
888640612	315
888646440	185
888647920	118
888669369	199
888696188	7
888703260	657
888760853	1115
888777004	618
888816126	239
888921048	112
888927334	171
888943370	13
888945988	350
888956204	376
888976935	258
888997753	299
889005836	108
889018176	80
CE0005500	9
CE0005604	138
CE0005662	167
CE0005786	297
CE0005802	327
CE0005876	244
CE0005988	126
CE0006103	462
CE0006205	215
CE0006233	152
CE0006371	433
CE0006394	667
CE0006435	108
CE0006481	269
CE0006524	84
CE0006547	194
CE0006623	498
CE0006705	306
CE0006781	367
CE0006829	256
CE0006943	222
CE0007007	200
CE0007070	576
CE0007129	420
CE0007408	542
CE0007424	134
CE0007624	126
CE0007765	17
CE0007769	219
CE0007814	1991
CE0007821	57
CE0007855	779
CE0007865	778
CE0007908	500
CE0007925	874
CE0008114	125
CE0008136	13
CE0008202	67
CE0008264	310
CE0008375	143
CE0008411	152
CE0008484	72
CE0008542	301
CE0008593	34
CE0008661	83
CE0008682	256
CE0008817	228
CE0008924	33
CE0009275	488
CE0009991	102
RG1083	98
RG1193	517
RG1200	202
RG1234	270
RG1265	256
RG1272	303
RG1289	115
RG1367	421
RG1443	887
RG1565	116
RG1578	105
RG1791	244
RG1802	174
RG1822	370
RG1849	605
RG1889	147
RG1895	237
RG1936	780
RG2037	530
RG2105	295
RG2115	88
RG2118	17
RG2155	389
RG2195	332
RG2207	267
RG2251	340
RG2284	197
RG2350	234
RG2459	389
RG2512	375
RG2617	194
RG2674	444
RG2685	318
RG2838	262
RG2903	173
RG3105	271
RG3309	147
RG3355	653
RG3444	288
RG3549	416
RG3556	170
RG3578	394
RG3758	21
RG3783	271
RG3844	41
RG3945	107
RG3948	207
RG3956	507
RG3987	268
RG3995	97
RG4094	230
RG4543	227
SCT2601343	160
SCT2794524	524
SCT4168329	103
SCT6222960	29
SCT6338383	179
SCT8789722	266
SCT8995047	58
SCT9160998	267
