sample_id	unique_clones
110040277	11916
110040811	10299
110040851	12517
110040887	9299
110040958	3511
110040975	6482
110042592	12676
110042606	5425
110042713	11219
110042813	9574
110042935	19250
110044118	8736
110044155	7821
110044355	16550
110044376	5403
110044782	13920
110044786	2471
110044845	9267
110044978	8550
110046337	8506
110046617	6992
110046912	9318
222693519	10727
22301641N	10415
888174491	5516
888179544	7025
888214522	21333
888262983	5312
888286853	12896
888287118	15895
888313858	1306
888333863	18786
888402542	4449
888407672	9102
888408987	8911
888436895	11089
888508776	18344
888559379	6621
888581247	4959
888624327	7084
888634432	9297
888640612	10168
888646440	7802
888647920	3825
888669369	7261
888696188	2113
888703260	8256
888760853	13142
888777004	9089
888816126	9493
888921048	5804
888927334	4354
888943370	951
888945988	14483
888956204	9938
888976935	9142
888997753	7305
889005836	6324
889018176	7946
CE0005500	9369
CE0005604	6880
CE0005662	11056
CE0005779	7277
CE0005786	11861
CE0005802	12902
CE0005876	12485
CE0005988	7083
CE0006103	10881
CE0006205	7155
CE0006233	6461
CE0006371	7297
CE0006394	4428
CE0006435	10959
CE0006481	5392
CE0006524	10957
CE0006547	12021
CE0006623	6187
CE0006705	14463
CE0006781	7885
CE0006829	13649
CE0006943	16200
CE0007007	5099
CE0007070	4869
CE0007129	7962
CE0007408	18624
CE0007424	4607
CE0007624	10055
CE0007765	6665
CE0007769	10302
CE0007814	10476
CE0007821	8886
CE0007855	9772
CE0007865	9734
CE0007908	7140
CE0007925	6100
CE0008114	13734
CE0008202	8765
CE0008264	16033
CE0008375	8225
CE0008411	6213
CE0008484	20084
CE0008542	12159
CE0008593	6888
CE0008661	5807
CE0008682	4196
CE0008817	7843
CE0008924	11029
CE0009275	4882
CE0009991	4873
RG1083	3636
RG1193	3457
RG1200	7213
RG1234	15074
RG1265	9807
RG1272	14096
RG1289	9104
RG1367	24262
RG1443	12642
RG1565	9655
RG1578	5413
RG1791	8500
RG1802	14111
RG1822	5133
RG1849	6874
RG1889	8682
RG1895	8119
RG1936	20194
RG2037	5212
RG2105	7979
RG2115	7204
RG2118	10997
RG2155	9357
RG2195	10061
RG2207	10491
RG2251	9311
RG2284	7505
RG2350	11260
RG2459	9383
RG2512	7851
RG2617	11036
RG2674	5797
RG2685	11601
RG2838	7390
RG2903	9942
RG3105	7113
RG3309	6929
RG3355	13156
RG3444	12065
RG3549	7734
RG3556	10698
RG3578	8220
RG3666	7086
RG3758	18407
RG3783	8922
RG3844	6796
RG3945	3523
RG3948	6234
RG3956	9466
RG3987	11251
RG3995	15672
RG4094	10043
RG4543	7851
SCT2601343	10722
SCT2794524	6864
SCT4168329	8984
SCT6222960	3281
SCT6338383	7416
SCT8789722	7078
SCT9160998	10145
