sample_id	unique_clones
110040277	1099
110040811	956
110040851	1236
110040887	673
110040958	248
110040975	587
110042592	818
110042606	594
110042713	548
110042813	738
110042935	1138
110044118	640
110044155	1178
110044355	1982
110044376	430
110044782	1395
110044786	271
110044845	635
110044978	619
110046337	665
110046617	520
110046912	596
222693519	1000
22301641N	790
888174491	392
888179544	537
888214522	1205
888262983	405
888286853	1532
888287118	1299
888313858	45
888333863	1172
888402542	358
888407672	566
888408987	611
888436895	778
888508776	1053
888559379	676
888581247	648
888624327	657
888634432	677
888640612	641
888646440	615
888647920	188
888669369	687
888696188	39
888703260	805
888760853	928
888777004	475
888816126	513
888921048	435
888927334	457
888943370	32
888945988	1105
888956204	769
888976935	978
888997753	716
889005836	528
889018176	882
CE0005500	287
CE0005604	284
CE0005662	722
CE0005779	381
CE0005786	1860
CE0005802	727
CE0005876	870
CE0005988	440
CE0006103	834
CE0006205	431
CE0006233	528
CE0006371	685
CE0006394	314
CE0006435	567
CE0006481	293
CE0006524	1048
CE0006547	917
CE0006623	487
CE0006705	981
CE0006781	757
CE0006829	1090
CE0006943	1286
CE0007007	539
CE0007070	513
CE0007129	735
CE0007408	1223
CE0007424	301
CE0007624	885
CE0007765	594
CE0007769	476
CE0007814	864
CE0007821	540
CE0007855	892
CE0007865	915
CE0007908	1124
CE0007925	664
CE0008114	1080
CE0008202	614
CE0008264	812
CE0008375	454
CE0008411	399
CE0008484	1821
CE0008542	1089
CE0008593	480
CE0008661	214
CE0008682	357
CE0008817	350
CE0008924	611
CE0009275	371
CE0009991	267
RG1083	169
RG1193	149
RG1200	578
RG1234	1227
RG1265	801
RG1272	942
RG1289	686
RG1367	1716
RG1443	2063
RG1565	651
RG1578	484
RG1791	735
RG1802	1458
RG1822	358
RG1849	491
RG1889	417
RG1895	478
RG1936	1717
RG2037	470
RG2105	752
RG2115	460
RG2118	1074
RG2155	457
RG2195	948
RG2207	855
RG2251	800
RG2284	566
RG2350	1032
RG2459	447
RG2512	587
RG2617	556
RG2674	419
RG2685	846
RG2838	540
RG2903	737
RG3105	737
RG3309	432
RG3355	1353
RG3444	906
RG3549	695
RG3556	899
RG3578	798
RG3666	469
RG3758	1184
RG3783	950
RG3844	645
RG3945	243
RG3948	561
RG3956	684
RG3987	1050
RG3995	1081
RG4094	958
RG4543	357
SCT2601343	401
SCT2794524	407
SCT4168329	514
SCT6222960	103
SCT6338383	346
SCT8789722	437
SCT9160998	541
