sample_id	unique_clones
110040277	4764
110040811	3845
110040851	6156
110040887	2610
110040958	2043
110040975	2083
110042592	4459
110042606	4987
110042713	3749
110042813	6180
110042935	5022
110044118	6837
110044155	8196
110044355	14484
110044376	3236
110044782	15357
110044786	2415
110044845	3206
110044978	6896
110046337	4327
110046617	2291
110046912	4245
222693519	5220
22301641N	4101
888174491	3676
888179544	4556
888214522	2369
888262983	3075
888286853	10616
888287118	7152
888313858	626
888333863	6394
888402542	3783
888407672	2746
888408987	955
888436895	3716
888508776	4769
888559379	7436
888581247	3284
888624327	8097
888634432	5601
888640612	6271
888646440	5625
888647920	2898
888669369	2551
888696188	227
888703260	10125
888760853	9055
888777004	4138
888816126	4359
888921048	2100
888927334	3808
888943370	304
888945988	7009
888956204	6069
888976935	5790
888997753	5890
889005836	3515
889018176	3180
CE0005500	1123
CE0005604	1595
CE0005662	3594
CE0005779	4553
CE0005786	5091
CE0005802	3882
CE0005876	7047
CE0005988	2974
CE0006103	8144
CE0006205	3303
CE0006233	2435
CE0006371	5186
CE0006394	6217
CE0006435	2066
CE0006481	5675
CE0006524	8468
CE0006547	5653
CE0006623	6351
CE0006705	9751
CE0006781	7451
CE0006829	1728
CE0006943	6318
CE0007007	5085
CE0007070	7804
CE0007129	8528
CE0007408	9120
CE0007424	2127
CE0007624	4054
CE0007765	3267
CE0007769	2467
CE0007814	7583
CE0007821	4353
CE0007855	12895
CE0007865	5263
CE0007908	8136
CE0007925	8514
CE0008114	4420
CE0008202	3956
CE0008264	3958
CE0008375	2573
CE0008411	2616
CE0008484	5915
CE0008542	4506
CE0008593	5439
CE0008661	1746
CE0008682	2992
CE0008817	2775
CE0008924	3675
CE0009275	6148
CE0009991	3836
RG1083	591
RG1193	1727
RG1200	4312
RG1234	6654
RG1265	10059
RG1272	3072
RG1289	6879
RG1367	9587
RG1443	11791
RG1565	2791
RG1578	6758
RG1791	3207
RG1802	6431
RG1822	4542
RG1849	6505
RG1889	1624
RG1895	3636
RG1936	7857
RG2037	7951
RG2105	6548
RG2115	1310
RG2118	10605
RG2155	4777
RG2195	4230
RG2207	5926
RG2251	6131
RG2284	2337
RG2350	7002
RG2459	5520
RG2512	5771
RG2617	3090
RG2674	6541
RG2685	4698
RG2838	5520
RG2903	2735
RG3105	6052
RG3309	2912
RG3355	6519
RG3444	6052
RG3549	4727
RG3556	5394
RG3578	6730
RG3666	3041
RG3758	2560
RG3783	5355
RG3844	3823
RG3945	2025
RG3948	2511
RG3956	6950
RG3987	4572
RG3995	4011
RG4094	5785
RG4543	2491
SCT2601343	2130
SCT2794524	3408
SCT4168329	2920
SCT6222960	1045
SCT6338383	2183
SCT8789722	3025
SCT9160998	2472
