sample_id	unique_clones
110040277	735
110040811	679
110040851	871
110040887	295
110040958	294
110040975	315
110042592	688
110042606	676
110042713	515
110042813	953
110042935	865
110044118	1034
110044155	2188
110044355	3366
110044376	420
110044782	2651
110044786	431
110044845	482
110044978	1005
110046337	641
110046617	311
110046912	560
222693519	752
22301641N	692
888174491	456
888179544	703
888214522	281
888262983	370
888286853	2771
888287118	1485
888313858	40
888333863	856
888402542	515
888407672	404
888408987	78
888436895	611
888508776	641
888559379	1029
888581247	817
888624327	1353
888634432	956
888640612	961
888646440	815
888647920	338
888669369	394
888696188	25
888703260	1684
888760853	1423
888777004	596
888816126	495
888921048	219
888927334	532
888943370	24
888945988	935
888956204	948
888976935	1038
888997753	1037
889005836	511
889018176	416
CE0005500	90
CE0005604	147
CE0005662	379
CE0005779	470
CE0005786	1167
CE0005802	532
CE0005876	1463
CE0005988	325
CE0006103	1543
CE0006205	504
CE0006233	337
CE0006371	818
CE0006394	793
CE0006435	244
CE0006481	689
CE0006524	1290
CE0006547	930
CE0006623	1117
CE0006705	1542
CE0006781	1634
CE0006829	293
CE0006943	775
CE0007007	910
CE0007070	1347
CE0007129	1295
CE0007408	1241
CE0007424	216
CE0007624	609
CE0007765	619
CE0007769	278
CE0007814	1261
CE0007821	614
CE0007855	2160
CE0007865	1208
CE0007908	2042
CE0007925	1506
CE0008114	581
CE0008202	485
CE0008264	647
CE0008375	374
CE0008411	280
CE0008484	934
CE0008542	548
CE0008593	746
CE0008661	161
CE0008682	402
CE0008817	317
CE0008924	466
CE0009275	943
CE0009991	440
RG1083	61
RG1193	217
RG1200	547
RG1234	982
RG1265	1713
RG1272	353
RG1289	1235
RG1367	1483
RG1443	3724
RG1565	372
RG1578	1085
RG1791	427
RG1802	957
RG1822	729
RG1849	881
RG1889	149
RG1895	533
RG1936	1554
RG2037	1381
RG2105	1238
RG2115	167
RG2118	1815
RG2155	599
RG2195	591
RG2207	846
RG2251	988
RG2284	301
RG2350	1197
RG2459	672
RG2512	859
RG2617	342
RG2674	969
RG2685	646
RG2838	814
RG2903	316
RG3105	1032
RG3309	411
RG3355	1317
RG3444	841
RG3549	802
RG3556	723
RG3578	1024
RG3666	441
RG3758	311
RG3783	848
RG3844	634
RG3945	196
RG3948	367
RG3956	1073
RG3987	630
RG3995	579
RG4094	691
RG4543	302
SCT2601343	283
SCT2794524	433
SCT4168329	429
SCT6222960	83
SCT6338383	292
SCT8789722	357
SCT9160998	339
