sample_id	unique_clones
110040277	3828
110040811	5203
110040851	4393
110040887	3887
110040958	1564
110040975	2885
110042592	3847
110042606	2801
110042713	7963
110042813	3815
110042935	6735
110044118	3621
110044155	2315
110044355	7925
110044376	2437
110044782	5756
110044786	2739
110044845	3089
110044978	4665
110046337	640
110046617	3238
110046912	3169
222693519	4094
22301641N	5298
888174491	1927
888179544	3031
888214522	9890
888262983	3717
888286853	2665
888287118	6781
888313858	958
888333863	6781
888402542	1326
888407672	3075
888408987	5014
888436895	6832
888508776	6815
888559379	3440
888581247	4279
888624327	2067
888634432	6469
888640612	3717
888646440	2964
888647920	1149
888669369	3446
888696188	571
888703260	2441
888760853	8738
888777004	5365
888816126	4849
888921048	2893
888927334	2191
888943370	458
888945988	6793
888956204	4208
888976935	3889
888997753	2933
889005836	2257
889018176	3566
CE0005500	1160
CE0005604	4547
CE0005662	5048
CE0005786	5479
CE0005802	7442
CE0005876	1510
CE0005988	2535
CE0006103	3876
CE0006205	3105
CE0006233	3635
CE0006371	4186
CE0006394	2499
CE0006435	6193
CE0006481	1987
CE0006524	880
CE0006547	3943
CE0006623	3430
CE0006705	4104
CE0006781	2593
CE0006829	7543
CE0006943	6075
CE0007007	1570
CE0007070	2265
CE0007129	2901
CE0007408	8081
CE0007424	2226
CE0007624	3015
CE0007765	333
CE0007769	6554
CE0007814	8386
CE0007821	1236
CE0007855	3360
CE0007865	5908
CE0007908	2189
CE0007925	3442
CE0008114	4888
CE0008136	342
CE0008202	1070
CE0008264	3980
CE0008375	4165
CE0008411	2339
CE0008484	4406
CE0008542	4852
CE0008593	385
CE0008661	2282
CE0008682	2921
CE0008817	4552
CE0008924	1232
CE0009275	1769
CE0009991	1097
RG1083	3245
RG1193	4960
RG1200	3468
RG1234	5359
RG1265	1763
RG1272	9995
RG1289	1574
RG1367	10055
RG1443	2984
RG1565	3839
RG1578	664
RG1791	5114
RG1802	3549
RG1822	3253
RG1849	3286
RG1889	5099
RG1895	4755
RG1936	9061
RG2037	2298
RG2105	2899
RG2115	4622
RG2118	1426
RG2155	4504
RG2195	5465
RG2207	3909
RG2251	4135
RG2284	4405
RG2350	3858
RG2459	4162
RG2512	4030
RG2617	5396
RG2674	2886
RG2685	5293
RG2838	2565
RG2903	4688
RG3105	2421
RG3309	3179
RG3355	5357
RG3444	3649
RG3549	4577
RG3556	3640
RG3578	3630
RG3758	6431
RG3783	3452
RG3844	546
RG3945	1729
RG3948	3635
RG3956	5265
RG3987	5379
RG3995	5044
RG4094	4929
RG4543	3083
SCT2601343	6363
SCT2794524	4732
SCT4168329	2833
SCT6222960	1264
SCT6338383	4364
SCT8789722	4134
SCT8995047	1856
SCT9160998	6647
