sample_id	unique_clones
110040277	327
110040811	357
110040851	299
110040887	214
110040958	127
110040975	273
110042592	294
110042606	228
110042713	343
110042813	247
110042935	306
110044118	188
110044155	206
110044355	466
110044376	183
110044782	329
110044786	245
110044845	190
110044978	262
110046337	43
110046617	151
110046912	182
222693519	303
22301641N	290
888174491	169
888179544	224
888214522	382
888262983	259
888286853	203
888287118	335
888313858	31
888333863	374
888402542	82
888407672	199
888408987	254
888436895	319
888508776	265
888559379	288
888581247	368
888624327	158
888634432	357
888640612	197
888646440	253
888647920	77
888669369	270
888696188	24
888703260	237
888760853	418
888777004	291
888816126	237
888921048	194
888927334	174
888943370	17
888945988	335
888956204	281
888976935	214
888997753	228
889005836	163
889018176	283
CE0005500	37
CE0005604	183
CE0005662	210
CE0005786	323
CE0005802	310
CE0005876	101
CE0005988	158
CE0006103	307
CE0006205	160
CE0006233	244
CE0006371	309
CE0006394	213
CE0006435	300
CE0006481	157
CE0006524	83
CE0006547	217
CE0006623	247
CE0006705	193
CE0006781	170
CE0006829	360
CE0006943	267
CE0007007	136
CE0007070	172
CE0007129	281
CE0007408	393
CE0007424	175
CE0007624	182
CE0007765	19
CE0007769	379
CE0007814	483
CE0007821	72
CE0007855	230
CE0007865	352
CE0007908	211
CE0007925	272
CE0008114	277
CE0008136	18
CE0008202	87
CE0008264	214
CE0008375	153
CE0008411	156
CE0008484	176
CE0008542	272
CE0008593	28
CE0008661	120
CE0008682	205
CE0008817	223
CE0008924	61
CE0009275	202
CE0009991	92
RG1083	184
RG1193	364
RG1200	222
RG1234	298
RG1265	139
RG1272	359
RG1289	67
RG1367	343
RG1443	280
RG1565	231
RG1578	55
RG1791	302
RG1802	260
RG1822	198
RG1849	266
RG1889	213
RG1895	271
RG1936	405
RG2037	167
RG2105	185
RG2115	202
RG2118	52
RG2155	225
RG2195	337
RG2207	197
RG2251	257
RG2284	252
RG2350	241
RG2459	217
RG2512	276
RG2617	248
RG2674	203
RG2685	298
RG2838	208
RG2903	263
RG3105	206
RG3309	185
RG3355	269
RG3444	216
RG3549	268
RG3556	197
RG3578	269
RG3758	242
RG3783	265
RG3844	47
RG3945	138
RG3948	234
RG3956	314
RG3987	343
RG3995	213
RG4094	251
RG4543	172
SCT2601343	159
SCT2794524	292
SCT4168329	180
SCT6222960	43
SCT6338383	173
SCT8789722	278
SCT8995047	105
SCT9160998	325
