sample_id	unique_clones
110040277	1471
110040811	2176
110040851	1974
110040887	958
110040958	1014
110040975	887
110042592	1556
110042606	2168
110042713	2501
110042813	2308
110042935	2582
110044118	2236
110044155	2563
110044355	5876
110044376	1660
110044782	5405
110044786	3153
110044845	991
110044978	3579
110046337	230
110046617	1032
110046912	1361
222693519	1505
22301641N	1686
888174491	1435
888179544	1953
888214522	601
888262983	1953
888286853	2034
888287118	2712
888313858	276
888333863	1877
888402542	662
888407672	777
888408987	422
888436895	2428
888508776	1581
888559379	3405
888581247	2433
888624327	1801
888634432	3466
888640612	2500
888646440	1566
888647920	1084
888669369	1322
888696188	117
888703260	4490
888760853	4349
888777004	2537
888816126	2158
888921048	1016
888927334	1605
888943370	164
888945988	2717
888956204	2556
888976935	2004
888997753	2280
889005836	1274
889018176	1239
CE0005500	257
CE0005604	1038
CE0005662	1279
CE0005786	2079
CE0005802	2078
CE0005876	1059
CE0005988	1033
CE0006103	2738
CE0006205	1420
CE0006233	1140
CE0006371	2417
CE0006394	4130
CE0006435	810
CE0006481	2191
CE0006524	615
CE0006547	1710
CE0006623	3220
CE0006705	2180
CE0006781	2051
CE0006829	740
CE0006943	1689
CE0007007	1305
CE0007070	3465
CE0007129	3097
CE0007408	4230
CE0007424	1121
CE0007624	910
CE0007765	127
CE0007769	1532
CE0007814	5259
CE0007821	625
CE0007855	4951
CE0007865	3050
CE0007908	2626
CE0007925	3759
CE0008114	1199
CE0008136	134
CE0008202	408
CE0008264	1822
CE0008375	1109
CE0008411	1100
CE0008484	806
CE0008542	1867
CE0008593	303
CE0008661	786
CE0008682	1908
CE0008817	1536
CE0008924	360
CE0009275	2503
CE0009991	1007
RG1083	776
RG1193	2672
RG1200	1785
RG1234	2358
RG1265	1383
RG1272	1955
RG1289	735
RG1367	3134
RG1443	3066
RG1565	1003
RG1578	794
RG1791	1558
RG1802	1382
RG1822	2394
RG1849	3456
RG1889	1181
RG1895	1613
RG1936	3686
RG2037	3279
RG2105	2281
RG2115	687
RG2118	216
RG2155	2663
RG2195	2202
RG2207	2039
RG2251	2233
RG2284	1244
RG2350	2034
RG2459	2414
RG2512	2744
RG2617	1648
RG2674	2940
RG2685	2314
RG2838	2154
RG2903	1397
RG3105	1846
RG3309	1259
RG3355	2095
RG3444	1774
RG3549	2598
RG3556	1605
RG3578	2357
RG3758	441
RG3783	2055
RG3844	237
RG3945	922
RG3948	1556
RG3956	2806
RG3987	2017
RG3995	1168
RG4094	1765
RG4543	1227
SCT2601343	1036
SCT2794524	2109
SCT4168329	926
SCT6222960	393
SCT6338383	1165
SCT8789722	1850
SCT8995047	665
SCT9160998	1493
