sample_id	unique_clones
110040277	228
110040811	519
110040851	202
110040887	109
110040958	120
110040975	136
110042592	214
110042606	282
110042713	497
110042813	276
110042935	686
110044118	228
110044155	347
110044355	1149
110044376	219
110044782	933
110044786	464
110044845	75
110044978	569
110046337	15
110046617	131
110046912	161
222693519	161
22301641N	211
888174491	149
888179544	285
888214522	78
888262983	386
888286853	439
888287118	468
888313858	22
888333863	268
888402542	65
888407672	78
888408987	44
888436895	492
888508776	203
888559379	385
888581247	519
888624327	257
888634432	699
888640612	304
888646440	179
888647920	113
888669369	184
888696188	7
888703260	639
888760853	997
888777004	570
888816126	233
888921048	104
888927334	171
888943370	12
888945988	335
888956204	360
888976935	237
888997753	283
889005836	102
889018176	73
CE0005500	9
CE0005604	127
CE0005662	157
CE0005786	283
CE0005802	300
CE0005876	225
CE0005988	120
CE0006103	444
CE0006205	211
CE0006233	141
CE0006371	405
CE0006394	640
CE0006435	97
CE0006481	253
CE0006524	82
CE0006547	188
CE0006623	472
CE0006705	289
CE0006781	338
CE0006829	214
CE0006943	208
CE0007007	186
CE0007070	506
CE0007129	404
CE0007408	518
CE0007424	127
CE0007624	114
CE0007765	14
CE0007769	212
CE0007814	1729
CE0007821	54
CE0007855	711
CE0007865	720
CE0007908	475
CE0007925	795
CE0008114	121
CE0008136	13
CE0008202	60
CE0008264	280
CE0008375	128
CE0008411	145
CE0008484	64
CE0008542	264
CE0008593	32
CE0008661	81
CE0008682	237
CE0008817	210
CE0008924	33
CE0009275	461
CE0009991	101
RG1083	95
RG1193	473
RG1200	195
RG1234	254
RG1265	247
RG1272	284
RG1289	110
RG1367	399
RG1443	808
RG1565	108
RG1578	103
RG1791	221
RG1802	168
RG1822	348
RG1849	568
RG1889	143
RG1895	224
RG1936	707
RG2037	502
RG2105	285
RG2115	73
RG2118	17
RG2155	370
RG2195	312
RG2207	251
RG2251	315
RG2284	189
RG2350	224
RG2459	350
RG2512	365
RG2617	189
RG2674	419
RG2685	298
RG2838	251
RG2903	167
RG3105	259
RG3309	143
RG3355	573
RG3444	275
RG3549	386
RG3556	165
RG3578	360
RG3758	21
RG3783	257
RG3844	38
RG3945	101
RG3948	191
RG3956	465
RG3987	260
RG3995	90
RG4094	226
RG4543	210
SCT2601343	155
SCT2794524	481
SCT4168329	95
SCT6222960	28
SCT6338383	166
SCT8789722	258
SCT8995047	56
SCT9160998	248
