sample_id	unique_clones
110040277	593
110040811	454
110040851	532
110040887	974
110040958	354
110040975	379
110042592	1033
110042606	518
110042713	432
110042813	729
110042935	601
110044118	756
110044155	513
110044355	715
110044376	392
110044782	1005
110044786	408
110044845	401
110044978	754
110046337	469
110046617	723
110046912	463
222693519	802
22301641N	965
888174491	756
888179544	426
888214522	473
888262983	371
888286853	573
888287118	3374
888313858	333
888333863	541
888402542	1564
888407672	378
888408987	862
888436895	479
888508776	468
888559379	458
888581247	375
888624327	462
888634432	822
888640612	484
888646440	652
888647920	385
888669369	678
888696188	509
888703260	480
888760853	627
888777004	787
888816126	793
888921048	658
888927334	622
888943370	340
888945988	525
888956204	433
888976935	469
888997753	382
889005836	850
889018176	524
CE0005500	1082
CE0005604	640
CE0005662	893
CE0005779	428
CE0005786	558
CE0005802	453
CE0005876	1025
CE0005988	757
CE0006103	447
CE0006205	435
CE0006233	595
CE0006371	401
CE0006394	502
CE0006435	862
CE0006481	424
CE0006524	489
CE0006547	511
CE0006623	681
CE0006705	487
CE0006781	422
CE0006829	978
CE0006943	1092
CE0007007	412
CE0007070	447
CE0007129	511
CE0007408	1474
CE0007424	576
CE0007624	806
CE0007765	709
CE0007769	413
CE0007814	483
CE0007821	609
CE0007855	592
CE0007865	465
CE0007908	710
CE0007925	502
CE0008114	575
CE0008202	976
CE0008264	540
CE0008375	825
CE0008411	677
CE0008484	497
CE0008542	1056
CE0008593	434
CE0008661	699
CE0008682	363
CE0008817	897
CE0008924	993
CE0009275	415
CE0009991	512
RG1083	484
RG1193	543
RG1200	447
RG1234	550
RG1265	429
RG1272	1082
RG1289	948
RG1367	503
RG1443	561
RG1565	833
RG1578	476
RG1791	729
RG1802	573
RG1822	328
RG1849	379
RG1889	338
RG1895	419
RG1936	603
RG2037	595
RG2105	453
RG2115	384
RG2118	863
RG2155	999
RG2195	447
RG2207	767
RG2251	793
RG2284	364
RG2350	863
RG2459	552
RG2512	593
RG2617	390
RG2674	616
RG2685	403
RG2838	651
RG2903	848
RG3105	429
RG3309	649
RG3355	954
RG3444	488
RG3549	687
RG3556	448
RG3578	724
RG3666	647
RG3758	1167
RG3783	463
RG3844	429
RG3945	519
RG3948	383
RG3956	457
RG3987	816
RG3995	980
RG4094	870
RG4543	424
SCT2601343	1003
SCT2794524	773
SCT4168329	754
SCT6222960	615
SCT6338383	890
SCT8789722	717
SCT9160998	777
