sample_id	unique_clones
110040277	682
110040811	575
110040851	637
110040887	499
110040958	208
110040975	336
110042592	599
110042606	400
110042713	393
110042813	518
110042935	612
110044118	489
110044155	689
110044355	1014
110044376	319
110044782	763
110044786	220
110044845	394
110044978	454
110046337	419
110046617	338
110046912	415
222693519	648
22301641N	515
888174491	332
888179544	373
888214522	540
888262983	279
888286853	772
888287118	973
888313858	41
888333863	627
888402542	308
888407672	370
888408987	433
888436895	458
888508776	536
888559379	468
888581247	429
888624327	444
888634432	472
888640612	436
888646440	456
888647920	156
888669369	462
888696188	39
888703260	527
888760853	615
888777004	351
888816126	373
888921048	346
888927334	328
888943370	29
888945988	620
888956204	511
888976935	533
888997753	452
889005836	413
889018176	560
CE0005500	226
CE0005604	223
CE0005662	466
CE0005779	291
CE0005786	875
CE0005802	484
CE0005876	549
CE0005988	359
CE0006103	492
CE0006205	310
CE0006233	403
CE0006371	408
CE0006394	259
CE0006435	416
CE0006481	230
CE0006524	591
CE0006547	576
CE0006623	400
CE0006705	518
CE0006781	478
CE0006829	656
CE0006943	783
CE0007007	361
CE0007070	358
CE0007129	481
CE0007408	688
CE0007424	216
CE0007624	535
CE0007765	386
CE0007769	340
CE0007814	515
CE0007821	407
CE0007855	583
CE0007865	490
CE0007908	678
CE0007925	433
CE0008114	667
CE0008202	430
CE0008264	479
CE0008375	346
CE0008411	316
CE0008484	720
CE0008542	669
CE0008593	348
CE0008661	180
CE0008682	245
CE0008817	300
CE0008924	446
CE0009275	265
CE0009991	214
RG1083	128
RG1193	136
RG1200	389
RG1234	680
RG1265	479
RG1272	530
RG1289	496
RG1367	728
RG1443	930
RG1565	415
RG1578	360
RG1791	497
RG1802	766
RG1822	258
RG1849	349
RG1889	232
RG1895	333
RG1936	791
RG2037	352
RG2105	462
RG2115	302
RG2118	710
RG2155	361
RG2195	517
RG2207	501
RG2251	561
RG2284	333
RG2350	682
RG2459	328
RG2512	424
RG2617	376
RG2674	329
RG2685	483
RG2838	416
RG2903	505
RG3105	502
RG3309	326
RG3355	804
RG3444	528
RG3549	536
RG3556	500
RG3578	541
RG3666	365
RG3758	666
RG3783	545
RG3844	408
RG3945	204
RG3948	367
RG3956	442
RG3987	674
RG3995	662
RG4094	644
RG4543	274
SCT2601343	290
SCT2794524	321
SCT4168329	366
SCT6222960	82
SCT6338383	264
SCT8789722	331
SCT9160998	436
