sample_id	unique_clones
110040277	553
110040811	452
110040851	554
110040887	480
110040958	377
110040975	322
110042592	470
110042606	574
110042713	428
110042813	637
110042935	552
110044118	785
110044155	738
110044355	958
110044376	447
110044782	1070
110044786	406
110044845	376
110044978	681
110046337	537
110046617	476
110046912	517
222693519	556
22301641N	563
888174491	575
888179544	496
888214522	307
888262983	394
888286853	793
888287118	942
888313858	188
888333863	555
888402542	818
888407672	363
888408987	230
888436895	456
888508776	434
888559379	633
888581247	477
888624327	652
888634432	617
888640612	560
888646440	604
888647920	461
888669369	422
888696188	108
888703260	712
888760853	794
888777004	480
888816126	485
888921048	409
888927334	536
888943370	154
888945988	603
888956204	540
888976935	549
888997753	482
889005836	529
889018176	504
CE0005500	254
CE0005604	296
CE0005662	549
CE0005779	505
CE0005786	590
CE0005802	446
CE0005876	685
CE0005988	434
CE0006103	620
CE0006205	457
CE0006233	409
CE0006371	493
CE0006394	641
CE0006435	311
CE0006481	588
CE0006524	669
CE0006547	574
CE0006623	674
CE0006705	607
CE0006781	650
CE0006829	303
CE0006943	674
CE0007007	582
CE0007070	777
CE0007129	682
CE0007408	691
CE0007424	358
CE0007624	445
CE0007765	429
CE0007769	359
CE0007814	639
CE0007821	496
CE0007855	958
CE0007865	529
CE0007908	811
CE0007925	795
CE0008114	570
CE0008202	535
CE0008264	463
CE0008375	376
CE0008411	420
CE0008484	440
CE0008542	386
CE0008593	542
CE0008661	324
CE0008682	430
CE0008817	488
CE0008924	472
CE0009275	608
CE0009991	471
RG1083	198
RG1193	370
RG1200	497
RG1234	606
RG1265	635
RG1272	482
RG1289	717
RG1367	596
RG1443	819
RG1565	340
RG1578	712
RG1791	461
RG1802	610
RG1822	492
RG1849	559
RG1889	292
RG1895	449
RG1936	640
RG2037	773
RG2105	600
RG2115	289
RG2118	958
RG2155	548
RG2195	465
RG2207	532
RG2251	725
RG2284	337
RG2350	747
RG2459	673
RG2512	633
RG2617	342
RG2674	694
RG2685	446
RG2838	610
RG2903	448
RG3105	561
RG3309	415
RG3355	688
RG3444	537
RG3549	622
RG3556	521
RG3578	832
RG3666	449
RG3758	376
RG3783	534
RG3844	521
RG3945	417
RG3948	414
RG3956	549
RG3987	574
RG3995	515
RG4094	699
RG4543	410
SCT2601343	362
SCT2794524	582
SCT4168329	448
SCT6222960	238
SCT6338383	428
SCT8789722	434
SCT9160998	361
