sample_id	unique_clones
110040277	477
110040811	439
110040851	560
110040887	250
110040958	233
110040975	266
110042592	455
110042606	457
110042713	367
110042813	585
110042935	544
110044118	678
110044155	943
110044355	1359
110044376	307
110044782	1263
110044786	302
110044845	327
110044978	631
110046337	457
110046617	245
110046912	405
222693519	493
22301641N	466
888174491	364
888179544	437
888214522	229
888262983	286
888286853	1120
888287118	950
888313858	37
888333863	555
888402542	450
888407672	301
888408987	76
888436895	437
888508776	440
888559379	603
888581247	474
888624327	758
888634432	608
888640612	553
888646440	512
888647920	254
888669369	296
888696188	25
888703260	839
888760853	796
888777004	424
888816126	360
888921048	193
888927334	410
888943370	23
888945988	581
888956204	573
888976935	601
888997753	567
889005836	375
889018176	316
CE0005500	79
CE0005604	132
CE0005662	301
CE0005779	357
CE0005786	596
CE0005802	364
CE0005876	735
CE0005988	255
CE0006103	762
CE0006205	355
CE0006233	274
CE0006371	512
CE0006394	520
CE0006435	205
CE0006481	467
CE0006524	692
CE0006547	554
CE0006623	664
CE0006705	848
CE0006781	774
CE0006829	233
CE0006943	561
CE0007007	568
CE0007070	764
CE0007129	752
CE0007408	730
CE0007424	185
CE0007624	410
CE0007765	397
CE0007769	221
CE0007814	710
CE0007821	414
CE0007855	1081
CE0007865	651
CE0007908	859
CE0007925	807
CE0008114	422
CE0008202	353
CE0008264	429
CE0008375	281
CE0008411	220
CE0008484	536
CE0008542	333
CE0008593	487
CE0008661	136
CE0008682	290
CE0008817	261
CE0008924	339
CE0009275	570
CE0009991	335
RG1083	58
RG1193	186
RG1200	363
RG1234	603
RG1265	834
RG1272	284
RG1289	721
RG1367	748
RG1443	1227
RG1565	280
RG1578	642
RG1791	336
RG1802	607
RG1822	475
RG1849	570
RG1889	136
RG1895	376
RG1936	807
RG2037	730
RG2105	685
RG2115	133
RG2118	971
RG2155	426
RG2195	405
RG2207	547
RG2251	624
RG2284	246
RG2350	709
RG2459	461
RG2512	547
RG2617	265
RG2674	607
RG2685	413
RG2838	515
RG2903	264
RG3105	615
RG3309	297
RG3355	770
RG3444	527
RG3549	535
RG3556	467
RG3578	684
RG3666	322
RG3758	254
RG3783	526
RG3844	418
RG3945	176
RG3948	285
RG3956	613
RG3987	448
RG3995	424
RG4094	492
RG4543	233
SCT2601343	236
SCT2794524	357
SCT4168329	311
SCT6222960	80
SCT6338383	241
SCT8789722	293
SCT9160998	269
